359 428 535 1617 2848
shad 0 0 0 10 0
see 44 32 60 43 252
progress 1 7 6 52 26
on 528 431 770 1185 1110
insid 1 1 3 22 4
trade 81 211 450 150 107
secur 33 4 111 414 129
and 1461 1536 1685 4216 3183
exchang 29 56 491 317 105
commiss 12 75 8 229 54
chairman 19 19 33 212 120
john 23 7 2 22 19
said 1506 1399 1872 4803 2773
wa 440 300 520 751 440
be 379 523 462 1201 646
made 43 73 60 211 105
in 1729 1529 2169 3771 3742
stop 12 10 19 11 5
but 255 220 416 350 280
the 4099 4467 6642 9867 6307
of 1896 2115 2656 6566 5098
a 1410 1127 1755 4365 3109
hous 46 62 94 42 24
subcommitte 6 22 10 15 0
with 326 304 491 1116 501
jurisdict 1 1 0 2 0
over 87 102 96 180 127
law 9 13 6 70 22
he 439 264 629 607 425
concern 19 19 29 81 28
about 194 110 204 580 358
condit 23 25 34 154 27
wall 1 0 2 53 13
street 1 0 1 53 18
greed 0 0 0 1 0
ha 255 290 346 1254 356
creat 9 10 19 34 14
feed 0 72 0 5 2
frenzi 0 0 0 2 0
process 9 14 11 57 18
are 196 262 279 381 227
broken 2 3 2 8 5
multi-billion 0 0 0 1 0
dlr 502 280 290 2071 4538
corpor 19 24 16 79 52
have 206 282 297 452 202
becom 24 12 27 69 13
easi 2 1 3 1 2
prey 0 0 0 3 0
rep 1 25 0 3 0
edward 1 4 0 8 5
markey 0 0 0 3 0
d-mass 0 0 0 1 0
telecommun 1 0 3 52 21
financ 20 9 124 173 65
at 452 457 757 843 551
start 26 27 48 56 57
hear 6 8 1 21 4
sec 0 0 0 72 2
activ 25 32 40 57 61
congress 15 27 20 7 3
is 452 475 585 1357 630
understand 1 1 3 10 3
nervou 0 2 4 2 1
we 132 131 141 154 117
perceiv 0 1 5 1 0
current 71 94 164 161 260
scandal 0 0 2 6 0
as 333 261 428 632 411
warn 19 5 15 5 2
even 20 23 42 29 19
wors 1 2 3 2 2
thing 2 8 12 23 5
to 2257 2400 2946 5845 3529
come 34 21 54 27 31
disrupt 2 3 2 3 5
by 457 377 537 1108 651
merger 3 2 0 570 29
mania 0 0 0 4 0
particularli 9 11 6 10 17
distress 0 0 0 1 0
recent 49 59 97 96 63
case 11 35 9 33 13
involv 6 14 18 65 23
ivan 0 0 1 2 0
boeski 0 0 0 2 0
denni 1 0 0 6 0
levin 0 0 0 4 0
other 97 93 150 333 177
that 572 474 749 1127 515
those 28 36 43 58 35
who 29 52 44 117 25
engag 3 4 4 20 2
were 251 233 238 338 277
take 45 45 120 198 79
heavi 27 33 12 12 13
risk 4 6 46 22 26
imprison 0 0 0 2 0
high 38 44 73 54 41
fine 2 0 2 12 6
disbar 0 0 0 1 0
from 498 442 454 823 1542
industri 176 57 138 359 288
not 247 296 419 778 366
been 139 156 187 294 149
erad 0 0 0 1 0
it 947 534 1012 5144 2773
inhibit 0 0 0 1 0
multimillion 0 0 0 2 0
dollar 18 4 901 17 91
profit 24 14 18 104 2507
siphon 0 1 0 1 0
off 90 19 28 74 50
market 160 279 839 296 207
now 63 57 106 128 63
flow 20 5 25 18 44
through 50 68 50 126 70
legitim 2 1 0 2 0
investor 13 2 45 247 31
trader 55 70 45 20 18
hi 43 30 59 150 30
statement 64 22 50 192 109
onli 59 72 77 81 47
10 51 64 68 135 425
pct 392 336 631 1337 969
or 104 133 132 664 811
less 32 42 30 37 33
enforc 0 0 1 13 2
action 21 32 62 86 34
year 315 417 239 331 2630
they 155 191 302 311 76
increas 139 112 77 152 445
significantli 4 6 9 8 24
125 0 4 0 8 10
brought 10 8 13 7 7
dure 47 66 47 39 84
past 29 20 36 27 19
five 61 54 80 143 322
compar 39 53 71 29 205
