359/5787 428/5787 535/5787 539/1929 2848/5787
$ 2/94483 1/94602 1/117360 1/216431 1/237893
'd 2/94483 5/94602 1/29340 3/216431 2/237893
'll 7/94483 4/47301 1/29340 3/216431 1/237893
'm 3/94483 1/31534 1/19560 4/216431 7/237893
're 6/94483 19/94602 1/23472 25/216431 9/237893
's 598/94483 145/31534 155/23472 1770/216431 988/237893
've 9/94483 3/31534 1/14670 8/216431 5/237893
-aci 1/94483 1/94602 1/117360 2/216431 1/237893
-banker 1/94483 1/94602 1/117360 1/216431 2/237893
-daimler-puch 1/94483 1/94602 1/117360 1/216431 2/237893
-dealer 1/94483 1/94602 1/58680 1/216431 1/237893
-iri 1/94483 1/94602 1/117360 1/216431 2/237893
-laval 1/94483 1/94602 1/117360 2/216431 1/237893
-led 1/94483 1/94602 1/117360 3/216431 1/237893
-radiat 1/94483 1/94602 1/117360 2/216431 1/237893
.029 1/94483 1/94602 1/117360 1/216431 3/237893
.059 1/94483 1/94602 1/117360 1/216431 3/237893
.062 1/94483 1/94602 1/117360 1/216431 2/237893
.063 1/94483 1/94602 1/117360 1/216431 2/237893
.067 1/94483 1/94602 1/117360 1/216431 3/237893
.068 1/94483 1/94602 1/117360 1/216431 3/237893
/southmark 1/94483 1/94602 1/117360 2/216431 1/237893
0 1/94483 7/47301 1/117360 1/216431 2/237893
0.1 7/94483 5/94602 1/117360 1/216431 6/237893
0.1365 1/94483 1/94602 1/117360 3/216431 1/237893
0.15 3/94483 1/94602 1/117360 1/216431 1/237893
0.152 2/94483 1/94602 1/117360 1/216431 1/237893
0.18 2/94483 1/94602 1/117360 3/216431 1/237893
0.2 8/94483 1/47301 1/117360 2/216431 3/237893
0.210 2/94483 1/94602 1/117360 1/216431 1/237893
0.23 2/94483 1/94602 1/117360 1/216431 1/237893
0.25 1/94483 1/47301 1/117360 2/216431 1/237893
0.26 3/94483 1/94602 1/117360 1/216431 1/237893
0.285 2/94483 1/94602 1/117360 1/216431 1/237893
0.3 6/94483 1/31534 1/23472 1/216431 3/237893
0.4 6/94483 1/94602 1/117360 2/216431 6/237893
0.5 3/94483 1/94602 1/19560 1/216431 4/237893
0.5165 1/94483 1/94602 1/117360 4/216431 1/237893
0.55 2/94483 1/94602 1/117360 2/216431 1/237893
0.6 4/94483 1/94602 1/29340 1/216431 2/237893
0.635 2/94483 1/94602 1/117360 1/216431 1/237893
0.64 3/94483 1/94602 1/117360 1/216431 1/237893
0.6820 1/94483 1/94602 1/58680 1/216431 1/237893
0.6858/63 1/94483 1/94602 1/58680 1/216431 1/237893
0.6864/69 1/94483 1/94602 1/58680 1/216431 1/237893
0.6875 1/94483 1/94602 1/39120 1/216431 1/237893
0.7 1/94483 1/94602 1/58680 2/216431 4/237893
0.7234 1/94483 1/94602 1/117360 2/216431 1/237893
0.75 1/94483 1/94602 1/58680 1/216431 2/237893
0.8 2/94483 1/94602 1/39120 3/216431 2/237893
0.80 2/94483 1/94602 1/117360 1/216431 2/237893
0.81 1/94483 1/94602 1/117360 2/216431 1/237893
0.82 1/94483 1/31534 1/117360 1/216431 1/237893
0.9 2/94483 1/47301 1/58680 1/216431 3/237893
0.902 2/94483 1/94602 1/117360 1/216431 1/237893
0.948 3/94483 1/94602 1/117360 1/216431 1/237893
0.95 3/94483 1/47301 1/117360 1/216431 1/237893
0.99 1/94483 1/47301 1/117360 1/216431 1/237893
0/92 1/94483 95/94602 1/117360 1/216431 1/237893
01 1/94483 1/94602 1/117360 3/216431 1/237893
02 1/94483 1/94602 1/39120 1/216431 1/237893
06 1/94483 1/31534 1/117360 1/216431 1/237893
0650 2/94483 1/94602 1/117360 1/216431 1/237893
07 1/94483 1/94602 1/117360 1/216431 3/237893
0700 1/94483 1/94602 1/58680 1/216431 1/237893
0730 1/94483 1/94602 1/58680 1/216431 1/237893
0800 1/94483 1/94602 1/58680 1/216431 1/237893
0830 1/94483 1/47301 1/58680 1/216431 2/237893
09 1/94483 1/31534 1/117360 1/216431 1/237893
0900 1/94483 1/47301 1/58680 2/216431 1/237893
1 27/94483 25/31534 19/117360 30/216431 110/237893
1,000 5/94483 1/15767 1/117360 4/216431 9/237893
1,000,000 1/94483 1/94602 1/117360 1/216431 3/237893
1,000,501 1/94483 1/94602 1/117360 3/216431 1/237893
1,001,000 1/94483 1/94602 1/117360 1/216431 2/237893
1,002,000 1/94483 1/94602 1/117360 1/216431 3/237893
1,004,000 1/94483 1/94602 1/117360 1/216431 3/237893
1,009,731 1/94483 1/94602 1/117360 1/216431 2/237893
1,010,000 1/94483 1/94602 1/117360 1/216431 2/237893
1,013,000 1/94483 1/94602 1/117360 1/216431 4/237893
1,014,000 1/94483 1/94602 1/117360 1/216431 2/237893
1,015,800 1/94483 1/47301 1/117360 2/216431 1/237893
1,017,000 1/94483 1/94602 1/117360 1/216431 3/237893
1,019,000 1/94483 1/94602 1/117360 1/216431 2/237893
1,020,096 1/94483 1/94602 1/117360 1/216431 2/237893
1,025,000 1/94483 1/94602 1/117360 1/216431 7/237893
1,026,000 1/94483 1/94602 1/117360 1/216431 2/237893
1,028,000 1/94483 1/94602 1/117360 1/216431 3/237893
1,032,000 1/94483 1/94602 1/117360 1/216431 4/237893
1,033,000 1/94483 1/94602 1/117360 1/216431 2/237893
1,034,000 1/94483 1/94602 1/117360 1/216431 2/237893
1,036,000 1/94483 1/94602 1/117360 1/216431 2/237893
1,037,000 1/94483 1/94602 1/117360 1/216431 4/237893
1,037,690 1/94483 1/94602 1/117360 1/216431 2/237893
1,038,300 1/94483 1/94602 1/117360 1/216431 2/237893
1,040,000 1/94483 1/94602 1/117360 1/216431 3/237893
1,040,700 1/94483 1/94602 1/117360 1/216431 2/237893
1,041,000 1/94483 1/94602 1/117360 1/216431 4/237893
1,042,000 1/94483 1/94602 1/117360 2/216431 8/237893
1,045,000 1/94483 1/94602 1/117360 2/216431 2/237893
1,045,799 1/94483 1/94602 1/117360 1/216431 4/237893
1,046,785 1/94483 1/94602 1/117360 1/216431 3/237893
1,047,000 1/94483 1/94602 1/117360 1/216431 2/237893
1,048,000 1/94483 1/94602 1/117360 1/216431 3/237893
1,048,340 1/94483 1/94602 1/117360 1/216431 2/237893
1,048,543 1/94483 1/94602 1/117360 1/216431 3/237893
1,053,000 1/94483 1/94602 1/117360 1/216431 2/237893
1,054,000 1/94483 1/94602 1/117360 1/216431 4/237893
1,055,000 1/94483 1/94602 1/117360 2/216431 1/237893
1,056,000 1/94483 1/94602 1/117360 1/216431 4/237893
1,058.6 1/94483 1/94602 1/58680 1/216431 1/237893
1,060,848 1/94483 1/94602 1/117360 1/216431 2/237893
1,061,000 1/94483 1/94602 1/117360 1/216431 2/237893
1,062,000 1/94483 1/94602 1/117360 1/216431 3/237893
1,062,837 1/94483 1/94602 1/117360 1/216431 2/237893
1,063,000 1/94483 1/94602 1/117360 1/216431 5/237893
1,064,000 1/94483 1/94602 1/117360 1/216431 3/237893
1,068,000 1/94483 1/94602 1/117360 1/216431 3/237893
1,069,000 1/94483 1/94602 1/117360 1/216431 4/237893
1,070,000 1/94483 1/94602 1/117360 1/216431 4/237893
1,075.20 1/94483 1/94602 1/58680 1/216431 1/237893
1,076,000 1/94483 1/94602 1/117360 1/216431 3/237893
1,081,600 1/94483 1/94602 1/117360 1/216431 2/237893
1,082,700 1/94483 1/94602 1/117360 1/216431 2/237893
1,084 2/94483 1/94602 1/117360 1/216431 2/237893
1,086,000 1/94483 1/94602 1/117360 1/216431 2/237893
1,087,000 2/94483 1/94602 1/117360 1/216431 1/237893
1,088,000 1/94483 1/94602 1/117360 1/216431 3/237893
1,091,023 1/94483 1/94602 1/117360 1/216431 2/237893
1,091,392 1/94483 1/94602 1/117360 1/216431 3/237893
1,094,331 1/94483 1/94602 1/117360 1/216431 2/237893
1,095,000 1/94483 1/94602 1/117360 1/216431 2/237893
1,096,332 1/94483 1/94602 1/117360 1/216431 3/237893
1,098,000 1/94483 1/94602 1/117360 1/216431 4/237893
1,098,978 1/94483 1/94602 1/117360 1/216431 2/237893
1,100 1/94483 1/94602 1/117360 2/216431 3/237893
1,100,000 1/94483 1/94602 1/117360 3/216431 5/237893
1,103,000 1/94483 1/94602 1/117360 1/216431 4/237893
1,104,000 1/94483 1/94602 1/117360 1/216431 3/237893
1,104,472 1/94483 1/94602 1/117360 1/216431 2/237893
1,106,500 1/94483 1/94602 1/117360 1/216431 2/237893
1,108,151 1/94483 1/94602 1/117360 1/216431 2/237893
1,109,000 1/94483 1/94602 1/117360 1/216431 3/237893
1,110,484 1/94483 1/94602 1/117360 1/216431 2/237893
1,116,857 1/94483 1/94602 1/117360 1/216431 2/237893
1,117,747 1/94483 1/94602 1/117360 1/216431 2/237893
1,121,000 1/94483 1/94602 1/117360 1/216431 3/237893
1,122,000 1/94483 1/94602 1/117360 1/216431 4/237893
1,124,805 1/94483 1/94602 1/117360 1/216431 2/237893
1,125,000 1/94483 1/94602 1/117360 2/216431 3/237893
1,126,000 1/94483 1/94602 1/117360 1/216431 2/237893
1,128,160 1/94483 1/94602 1/117360 1/216431 2/237893
1,128,412 1/94483 1/94602 1/117360 1/216431 2/237893
1,128,600 1/94483 1/94602 1/117360 1/216431 2/237893
1,129,000 1/94483 1/94602 1/117360 1/216431 2/237893
1,129.78 1/94483 1/94602 1/58680 1/216431 1/237893
1,130,000 1/94483 1/94602 1/117360 1/216431 3/237893
1,133,000 1/94483 1/94602 1/117360 1/216431 2/237893
1,135,000 1/94483 1/94602 1/117360 1/216431 3/237893
1,136 1/94483 1/94602 1/117360 1/216431 2/237893
1,136,785 1/94483 1/94602 1/117360 1/216431 3/237893
1,137,000 1/94483 1/94602 1/117360 1/216431 3/237893
1,140,000 1/94483 1/94602 1/117360 1/216431 3/237893
1,141,000 1/94483 1/94602 1/117360 1/216431 3/237893
1,142,000 1/94483 1/94602 1/117360 1/216431 3/237893
1,145 1/94483 1/94602 1/58680 1/216431 1/237893
1,147,000 1/94483 1/94602 1/117360 1/216431 2/237893
1,150,000 1/94483 1/94602 1/117360 1/216431 3/237893
1,150,633 1/94483 1/94602 1/117360 1/216431 2/237893
1,150,961 1/94483 1/94602 1/117360 1/216431 2/237893
1,151,176 1/94483 1/94602 1/117360 1/216431 2/237893
1,152,000 1/94483 1/94602 1/117360 1/216431 2/237893
1,153,000 1/94483 1/94602 1/117360 1/216431 2/237893
